rule_a_id,rule_a_name,rule_b_id,rule_b_name,level,hits_a,hits_b,both_hits,union_hits,jaccard,overlap_coefficient,p_a_given_b,p_b_given_a,high_jaccard_candidate,high_overlap_candidate,a_empirically_contained_in_b,b_empirically_contained_in_a,review_required
R04,R04_wire_to_high_risk_country,R15,R15_near_10k_structuring_proxy,transaction,27,988,0,1015,0,0,0,0,False,False,False,False,False
R04,R04_wire_to_high_risk_country,R16,R16_low_income_high_single_tx,transaction,27,4881,2,4906,0.000407664084794,0.0740740740741,0.00040975209998,0.0740740740741,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R06,R06_geo_or_ip_high_risk,transaction,515,782,515,782,0.658567774936,1,0.658567774936,1,True,True,True,False,True
R05,R05_crossborder_high_risk_receiver,R07,R07_large_amount_50k_plus,transaction,515,90,1,604,0.00165562913907,0.0111111111111,0.0111111111111,0.00194174757282,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R08,R08_card_ecommerce_without_3ds,transaction,515,1054,13,1556,0.00835475578406,0.0252427184466,0.0123339658444,0.0252427184466,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R09,R09_chargeback_status,transaction,515,1070,6,1579,0.00379987333756,0.0116504854369,0.00560747663551,0.0116504854369,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R10,R10_high_risk_mcc,transaction,515,15696,33,16178,0.00203980714551,0.0640776699029,0.00210244648318,0.0640776699029,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R11,R11_high_risk_merchant_or_cb_ratio,transaction,515,13784,392,13907,0.028187243834,0.761165048544,0.0284387695879,0.761165048544,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R12,R12_self_merchant,transaction,515,3,0,518,0,0,0,0,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,515,3839,34,4320,0.00787037037037,0.0660194174757,0.00885647303985,0.0660194174757,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R14,R14_rooted_device,transaction,515,1562,16,2061,0.00776322173702,0.031067961165,0.0102432778489,0.031067961165,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R15,R15_near_10k_structuring_proxy,transaction,515,988,10,1493,0.00669792364367,0.0194174757282,0.0101214574899,0.0194174757282,False,False,False,False,False
R05,R05_crossborder_high_risk_receiver,R16,R16_low_income_high_single_tx,transaction,515,4881,48,5348,0.00897531787584,0.0932038834951,0.00983405039951,0.0932038834951,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R07,R07_large_amount_50k_plus,transaction,782,90,2,870,0.00229885057471,0.0222222222222,0.0222222222222,0.00255754475703,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R08,R08_card_ecommerce_without_3ds,transaction,782,1054,21,1815,0.0115702479339,0.0268542199488,0.0199240986717,0.0268542199488,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R09,R09_chargeback_status,transaction,782,1070,11,1841,0.00597501357958,0.0140664961637,0.0102803738318,0.0140664961637,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R10,R10_high_risk_mcc,transaction,782,15696,105,16373,0.00641299700727,0.134271099744,0.00668960244648,0.134271099744,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R11,R11_high_risk_merchant_or_cb_ratio,transaction,782,13784,509,14057,0.0362097175784,0.650895140665,0.0369268717353,0.650895140665,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R12,R12_self_merchant,transaction,782,3,0,785,0,0,0,0,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,782,3839,230,4391,0.0523798679116,0.294117647059,0.0599114352696,0.294117647059,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R14,R14_rooted_device,transaction,782,1562,21,2323,0.00904003443823,0.0268542199488,0.0134443021767,0.0268542199488,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R15,R15_near_10k_structuring_proxy,transaction,782,988,18,1752,0.0102739726027,0.0230179028133,0.0182186234818,0.0230179028133,False,False,False,False,False
R06,R06_geo_or_ip_high_risk,R16,R16_low_income_high_single_tx,transaction,782,4881,71,5592,0.0126967095851,0.0907928388747,0.0145461995493,0.0907928388747,False,False,False,False,False
R07,R07_large_amount_50k_plus,R08,R08_card_ecommerce_without_3ds,transaction,90,1054,2,1142,0.00175131348511,0.0222222222222,0.00189753320683,0.0222222222222,False,False,False,False,False
R07,R07_large_amount_50k_plus,R09,R09_chargeback_status,transaction,90,1070,1,1159,0.000862812769629,0.0111111111111,0.000934579439252,0.0111111111111,False,False,False,False,False
R07,R07_large_amount_50k_plus,R10,R10_high_risk_mcc,transaction,90,15696,23,15763,0.00145911311299,0.255555555556,0.00146534148828,0.255555555556,False,False,False,False,False
R07,R07_large_amount_50k_plus,R11,R11_high_risk_merchant_or_cb_ratio,transaction,90,13784,17,13857,0.00122681677131,0.188888888889,0.00123331398723,0.188888888889,False,False,False,False,False
R07,R07_large_amount_50k_plus,R12,R12_self_merchant,transaction,90,3,0,93,0,0,0,0,False,False,False,False,False
R07,R07_large_amount_50k_plus,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,90,3839,5,3924,0.00127420998981,0.0555555555556,0.00130242250586,0.0555555555556,False,False,False,False,False
R07,R07_large_amount_50k_plus,R14,R14_rooted_device,transaction,90,1562,3,1649,0.0018192844148,0.0333333333333,0.00192061459667,0.0333333333333,False,False,False,False,False
R07,R07_large_amount_50k_plus,R15,R15_near_10k_structuring_proxy,transaction,90,988,0,1078,0,0,0,0,False,False,False,False,False
R07,R07_large_amount_50k_plus,R16,R16_low_income_high_single_tx,transaction,90,4881,90,4881,0.0184388444991,1,0.0184388444991,1,False,True,True,False,True
R08,R08_card_ecommerce_without_3ds,R09,R09_chargeback_status,transaction,1054,1070,20,2104,0.00950570342205,0.0189753320683,0.018691588785,0.0189753320683,False,False,False,False,False
R08,R08_card_ecommerce_without_3ds,R10,R10_high_risk_mcc,transaction,1054,15696,319,16431,0.0194145213316,0.30265654649,0.0203236493374,0.30265654649,False,False,False,False,False
R08,R08_card_ecommerce_without_3ds,R11,R11_high_risk_merchant_or_cb_ratio,transaction,1054,13784,291,14547,0.0200041245618,0.276091081594,0.0211114335461,0.276091081594,False,False,False,False,False
R08,R08_card_ecommerce_without_3ds,R12,R12_self_merchant,transaction,1054,3,0,1057,0,0,0,0,False,False,False,False,False
R08,R08_card_ecommerce_without_3ds,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,1054,3839,79,4814,0.0164104694641,0.0749525616698,0.0205782755926,0.0749525616698,False,False,False,False,False
R08,R08_card_ecommerce_without_3ds,R14,R14_rooted_device,transaction,1054,1562,28,2588,0.0108191653787,0.0265654648956,0.0179257362356,0.0265654648956,False,False,False,False,False
R08,R08_card_ecommerce_without_3ds,R15,R15_near_10k_structuring_proxy,transaction,1054,988,18,2024,0.00889328063241,0.0182186234818,0.0182186234818,0.0170777988615,False,False,False,False,False
R08,R08_card_ecommerce_without_3ds,R16,R16_low_income_high_single_tx,transaction,1054,4881,99,5836,0.0169636737491,0.0939278937381,0.020282728949,0.0939278937381,False,False,False,False,False
R09,R09_chargeback_status,R10,R10_high_risk_mcc,transaction,1070,15696,328,16438,0.0199537656649,0.306542056075,0.0208970438328,0.306542056075,False,False,False,False,False
R09,R09_chargeback_status,R11,R11_high_risk_merchant_or_cb_ratio,transaction,1070,13784,290,14564,0.0199121120571,0.271028037383,0.0210388856645,0.271028037383,False,False,False,False,False
R09,R09_chargeback_status,R12,R12_self_merchant,transaction,1070,3,0,1073,0,0,0,0,False,False,False,False,False
R09,R09_chargeback_status,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,1070,3839,73,4836,0.0150951199338,0.0682242990654,0.0190153685856,0.0682242990654,False,False,False,False,False
R09,R09_chargeback_status,R14,R14_rooted_device,transaction,1070,1562,34,2598,0.0130869899923,0.0317757009346,0.0217669654289,0.0317757009346,False,False,False,False,False
R09,R09_chargeback_status,R15,R15_near_10k_structuring_proxy,transaction,1070,988,17,2041,0.00832925036747,0.0172064777328,0.0172064777328,0.0158878504673,False,False,False,False,False
R09,R09_chargeback_status,R16,R16_low_income_high_single_tx,transaction,1070,4881,108,5843,0.0184836556563,0.100934579439,0.0221266133989,0.100934579439,False,False,False,False,False
R10,R10_high_risk_mcc,R11,R11_high_risk_merchant_or_cb_ratio,transaction,15696,13784,8979,20501,0.437978635189,0.651407428903,0.651407428903,0.572056574924,True,False,False,False,True
R10,R10_high_risk_mcc,R12,R12_self_merchant,transaction,15696,3,1,15698,6.37023824691e-05,0.333333333333,0.333333333333,6.37104994903e-05,False,False,False,False,False
R10,R10_high_risk_mcc,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,15696,3839,1171,18364,0.0637660640383,0.305027350873,0.305027350873,0.0746049949032,False,False,False,False,False
R10,R10_high_risk_mcc,R14,R14_rooted_device,transaction,15696,1562,465,16793,0.027690108974,0.297695262484,0.297695262484,0.029625382263,False,False,False,False,False
R10,R10_high_risk_mcc,R15,R15_near_10k_structuring_proxy,transaction,15696,988,290,16394,0.0176893985604,0.293522267206,0.293522267206,0.0184760448522,False,False,False,False,False
R10,R10_high_risk_mcc,R16,R16_low_income_high_single_tx,transaction,15696,4881,1503,19074,0.0787983642655,0.307928703135,0.307928703135,0.0957568807339,False,False,False,False,False
R11,R11_high_risk_merchant_or_cb_ratio,R12,R12_self_merchant,transaction,13784,3,1,13786,7.25373567387e-05,0.333333333333,0.333333333333,7.25478816019e-05,False,False,False,False,False
R11,R11_high_risk_merchant_or_cb_ratio,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,13784,3839,1012,16611,0.060923484438,0.263610315186,0.263610315186,0.0734184561811,False,False,False,False,False
R11,R11_high_risk_merchant_or_cb_ratio,R14,R14_rooted_device,transaction,13784,1562,375,14971,0.0250484269588,0.240076824584,0.240076824584,0.0272054556007,False,False,False,False,False
R11,R11_high_risk_merchant_or_cb_ratio,R15,R15_near_10k_structuring_proxy,transaction,13784,988,260,14512,0.0179162072767,0.263157894737,0.263157894737,0.0188624492165,False,False,False,False,False
R11,R11_high_risk_merchant_or_cb_ratio,R16,R16_low_income_high_single_tx,transaction,13784,4881,1303,17362,0.0750489574934,0.266953493137,0.266953493137,0.0945298897272,False,False,False,False,False
R12,R12_self_merchant,R13,R13_ip_anomaly_or_proxy_tor_vpn,transaction,3,3839,0,3842,0,0,0,0,False,False,False,False,False
R12,R12_self_merchant,R14,R14_rooted_device,transaction,3,1562,0,1565,0,0,0,0,False,False,False,False,False
R12,R12_self_merchant,R15,R15_near_10k_structuring_proxy,transaction,3,988,0,991,0,0,0,0,False,False,False,False,False
R12,R12_self_merchant,R16,R16_low_income_high_single_tx,transaction,3,4881,2,4882,0.000409668168783,0.666666666667,0.00040975209998,0.666666666667,False,False,False,False,False
R13,R13_ip_anomaly_or_proxy_tor_vpn,R14,R14_rooted_device,transaction,3839,1562,121,5280,0.0229166666667,0.0774647887324,0.0774647887324,0.0315186246418,False,False,False,False,False
R13,R13_ip_anomaly_or_proxy_tor_vpn,R15,R15_near_10k_structuring_proxy,transaction,3839,988,71,4756,0.0149285113541,0.0718623481781,0.0718623481781,0.0184943995832,False,False,False,False,False
R13,R13_ip_anomaly_or_proxy_tor_vpn,R16,R16_low_income_high_single_tx,transaction,3839,4881,381,8339,0.0456889315266,0.0992445949466,0.0780577750461,0.0992445949466,False,False,False,False,False
R14,R14_rooted_device,R15,R15_near_10k_structuring_proxy,transaction,1562,988,24,2526,0.00950118764846,0.0242914979757,0.0242914979757,0.0153649167734,False,False,False,False,False
R14,R14_rooted_device,R16,R16_low_income_high_single_tx,transaction,1562,4881,142,6301,0.0225361053801,0.0909090909091,0.0290923990985,0.0909090909091,False,False,False,False,False
R15,R15_near_10k_structuring_proxy,R16,R16_low_income_high_single_tx,transaction,988,4881,0,5869,0,0,0,0,False,False,False,False,False
