rule_id,rule_name,nome_pt,nivel,tipologia,rail_aplicavel,severidade,pontos,logica,parametros,limiar_dinamico,qtd_acionamentos_base,exemplo_id,exemplo_na_base,justificativa,acao_operacional,controle_falso_positivo
R11,R11_high_risk_merchant_or_cb_ratio,Merchant high risk ou chargeback ratio elevado,transacao,merchant risk / fraude adquirência,Card/merchant,Média-Alta,20,merchant_high_risk_flag=Yes ou merchant_chargeback_ratio_90d >= 8%.,merchant_high_risk_flag=Yes OR chargeback_ratio_90d>=0.08.,"Sim. O limite de 8% deve ser calibrado por MCC, porte e histórico do merchant.",13784,TJRKHTP81JROK,"TJRKHTP81JROK | cliente C100091 | Wire | R$ 11.672,88 | receiver_country=IR | country_risk_receiver=High | cross_border=Yes | capture_method=Domestic | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=Normal","Merchant com risco elevado ou alto chargeback ratio pode ser vetor de fraude, collusion, self-merchant ou laundering via vendas simuladas.","Revisar merchant onboarding, chargeback, vínculo com cliente e transações concentradas.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R12,R12_self_merchant,Self-merchant,transacao,self-merchant / vendas simuladas / circularidade,Card/merchant,Crítica,80,subject_customer_id = owner_customer_id do merchant.,subject_customer_id == merchant.owner_customer_id.,Não. Relação direta cliente-dono do merchant.,3,T89LY8D0GYY1H,"T89LY8D0GYY1H | cliente C102253 | PIX | R$ 13.698,06 | receiver_country=BR | country_risk_receiver=Low | cross_border=No | capture_method=Pix Key | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=High","Cliente transacionando com merchant próprio pode indicar circularidade, simulação de vendas, auto-liquidação ou abuso de arranjo.","Investigar vínculo societário, finalidade econômica e circularidade dos fluxos.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R13,R13_ip_anomaly_or_proxy_tor_vpn,"IP anomaly, proxy, VPN ou Tor",transacao,device/IP risk / geo-salto,Todos digitais,Média,12,ip_anomaly=Yes ou ip_proxy_vpn_tor em Proxy/VPN/Tor.,"ip_anomaly=Yes OR ip_proxy_vpn_tor in [Proxy, VPN, Tor].","Não no protótipo. Pode variar por canal, device e cliente.",3839,TQXICCVPO421G,"TQXICCVPO421G | cliente C101028 | Card | R$ 6.975,17 | receiver_country=BR | country_risk_receiver=Low | cross_border=No | capture_method=E-commerce | auth_3ds=Yes | card_present=No | merchant_mcc_risk=High","Sinal técnico isolado pode ser ruído, mas combinado com alto valor, cross-border ou conta nova reforça risco de fraude/AML.","Validar device, IP, país, horário e recorrência.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R14,R14_rooted_device,Device rooted,transacao,device risk / fraude digital,App/digital,Média,10,device_rooted = Yes.,device_rooted=Yes.,Não no protótipo. Pode variar por canal e sensibilidade da operação.,1562,T3VP1HWRBF614,"T3VP1HWRBF614 | cliente C101973 | Wire | R$ 2.149,85 | receiver_country=MM | country_risk_receiver=High | cross_border=Yes | capture_method=SWIFT | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=Normal","Device rooted aumenta risco de comprometimento, automação ou manipulação de sessão, especialmente com transação financeira de risco.",Aplicar fricção/autenticação adicional e revisar padrões do device.,"Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R15,R15_near_10k_structuring_proxy,Valor próximo de R$10 mil,transacao,structuring / smurfing proxy,Todos,Média,12,"amount_brl entre R$9.000 e R$9.999,99.",9000 <= amount_brl < 10000.,"Sim. Limite pode variar por regra regulatória/produto e deve olhar repetição, não evento isolado.",988,T4EYDTWOQ1TU5,"T4EYDTWOQ1TU5 | cliente C102376 | Card | R$ 9.097,80 | receiver_country=SY | country_risk_receiver=High | cross_border=Yes | capture_method=E-commerce | auth_3ds=No | card_present=No | merchant_mcc_risk=Normal",Valores próximos a limites são proxies de fracionamento; o sinal fica mais forte com repetição e múltiplas contrapartes.,"Analisar recorrência mensal, contrapartes e arredondamento de valores.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
R16,R16_low_income_high_single_tx,Transação alta versus renda mensal estimada,transacao,fora de perfil / renda incompatível,Todos,Média-Alta,18,"amount_brl >= max(2x renda mensal estimada, R$10.000).","monthly_income=annual_income/12; amount >= max(monthly_income*2,10000).","Sim. Pode usar fator por risco: baixo=2x, médio=1,5x, alto=1x e piso operacional.",4881,TJRKHTP81JROK,"TJRKHTP81JROK | cliente C100091 | Wire | R$ 11.672,88 | receiver_country=IR | country_risk_receiver=High | cross_border=Yes | capture_method=Domestic | auth_3ds=n/a | card_present=n/a | merchant_mcc_risk=Normal","Transação incompatível com renda declarada é red flag clássica, mas precisa ser calibrada por segmento e histórico.","Revisar renda, profissão, histórico, origem dos recursos e documentação.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M01,M01_monthly_out_of_profile_dynamic,Movimentação mensal fora de perfil,cliente_mes,fora de perfil / renda incompatível,Todos,Alta,35,Total mensal >= limiar dinâmico por risco/renda.,"Risco Low: >=2x renda mensal; Medium: >=1,5x; High: >=1x; piso PF R$20.000 usado no protótipo.",Sim. Este é o principal limiar dinâmico por risco.,5673,C101028_2025-07,"cliente C101028 / mês 2025-07 | total=R$ 62.577,35 | tx_count=14 | cash_in=3 (R$ 9.910,53) | cash_out=11 (R$ 52.666,82) | cross_border=3 | high_risk_country=1 | regras=M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period; M08_pep_high_volume; M09_high_risk_mcc_repeated",Avalia comportamento acumulado e reduz falso positivo de uma transação isolada; muito útil para priorização AML.,"Revisar renda, perfil, origem/destino e evolução mensal.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M02,M02_velocity_high_volume,Velocity de alto volume mensal,cliente_mes,velocity / conta de passagem,Todos,Alta,25,tx_count >= 15 e total_amount >= R$50.000 no mês.,tx_count>=15; total_amount>=50000.,"Sim. Pode variar por segmento, PF/PJ, rail e perfil histórico.",66,C100057_2025-07,"cliente C100057 / mês 2025-07 | total=R$ 69.504,60 | tx_count=18 | cash_in=2 (R$ 3.726,80) | cash_out=16 (R$ 65.777,80) | cross_border=7 | high_risk_country=2 | regras=M01_monthly_out_of_profile_dynamic; M02_velocity_high_volume; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M06_high_risk_country_repeated; M09_high_risk_mcc_repeated","Volume + frequência aumentam risco de conta operacionalizada por terceiros, laundering ou fraude em escala.","Revisar distribuição temporal, contrapartes e concentração de cash-in/cash-out.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M03,M03_structuring_near_10k_repeated,Structuring por repetição perto de R$10 mil,cliente_mes,structuring / smurfing,Todos,Alta,30,near_10k_count >= 3 no mês.,"Mínimo 3 transações entre R$9.000 e R$9.999,99 no mês.","Sim. Deve variar por janela, tipo de produto e perfil.",4,C100119_2025-08,"cliente C100119 / mês 2025-08 | total=R$ 43.028,80 | tx_count=8 | cash_in=2 (R$ 13.677,38) | cash_out=6 (R$ 29.351,42) | cross_border=3 | high_risk_country=0 | regras=M01_monthly_out_of_profile_dynamic; M03_structuring_near_10k_repeated; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration",Repetição perto de limite é mais forte que evento isolado e pode indicar tentativa de fracionamento.,"Analisar contrapartes, datas, arredondamento, perfil e vínculo entre operações.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M04,M04_cashin_to_cashout_pass_through_proxy,Cash-in para cash-out / conta de passagem,cliente_mes,conta de passagem / mule account / layering,"Principalmente PIX, mas aplica todos",Alta,30,"cash_in_count>=2, cash_out_count>=5, cash_out_amount>=70% cash_in_amount e total>=R$20.000.",cash_in_count>=2; cash_out_count>=5; cash_out_amount/cash_in_amount>=0.70; total>=20000.,"Sim. Limites devem variar por PF/PJ, renda e histórico.",2231,C101028_2025-07,"cliente C101028 / mês 2025-07 | total=R$ 62.577,35 | tx_count=14 | cash_in=3 (R$ 9.910,53) | cash_out=11 (R$ 52.666,82) | cross_border=3 | high_risk_country=1 | regras=M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period; M08_pep_high_volume; M09_high_risk_mcc_repeated","Entrada seguida de saída, com pouca retenção, é padrão compatível com conta de passagem ou mule account.","Construir timeline, contrapartes, saldo aproximado e recorrência.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M05,M05_crossborder_concentration,Concentração cross-border,cliente_mes,cross-border / layering,Todos,Média-Alta,22,cross_border_count>=3 e cross_border_count/tx_count >= 30% no mês.,cross_border_count>=3; proporção>=0.30.,"Sim. Pode variar por cliente, produto, nacionalidade e atividade econômica.",814,C101208_2025-08,"cliente C101208 / mês 2025-08 | total=R$ 40.315,80 | tx_count=12 | cash_in=2 (R$ 6.672,41) | cash_out=10 (R$ 33.643,39) | cross_border=5 | high_risk_country=1 | regras=M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M07_sanctions_any_period","Alta concentração internacional fora do padrão pode indicar layering, evasão ou uso de jurisdição de risco.","Revisar países, contrapartes, finalidade e coerência cadastral.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M06,M06_high_risk_country_repeated,Repetição com país de alto risco,cliente_mes,país de risco / FT / sanctions proximity,Todos; maior criticidade em Wire,Alta,35,high_risk_country_count >= 2 no mês.,Mínimo 2 eventos com receiver_country High no mês.,"Sim. Depende de lista de países, sanções e apetite de risco.",18,C100057_2025-07,"cliente C100057 / mês 2025-07 | total=R$ 69.504,60 | tx_count=18 | cash_in=2 (R$ 3.726,80) | cash_out=16 (R$ 65.777,80) | cross_border=7 | high_risk_country=2 | regras=M01_monthly_out_of_profile_dynamic; M02_velocity_high_volume; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M06_high_risk_country_repeated; M09_high_risk_mcc_repeated",Repetição com jurisdição de alto risco aumenta materialidade e reduz chance de evento acidental.,"Validar país, contraparte, sanções e documentação.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M07,M07_sanctions_any_period,Sanções no período,cliente_mes,sanções / FT,Todos,Crítica,100,sanctions_tx_count>=1 ou sanctions_list_hit=Yes.,Qualquer hit transacional ou cadastral no mês.,Não. Evento crítico.,36,C101028_2025-07,"cliente C101028 / mês 2025-07 | total=R$ 62.577,35 | tx_count=14 | cash_in=3 (R$ 9.910,53) | cash_out=11 (R$ 52.666,82) | cross_border=3 | high_risk_country=1 | regras=M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period; M08_pep_high_volume; M09_high_risk_mcc_repeated",Sanções exigem tratamento de alta prioridade independentemente de valor.,"Escalar imediatamente, validar listas oficiais, congelamento/bloqueio conforme política e jurídico.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M08,M08_pep_high_volume,PEP com alto volume mensal,cliente_mes,PEP / corrupção / EDD,Todos,Alta,35,pep=Yes e total_amount>=R$50.000 no mês.,PEP=Yes; total mensal>=50000.,"Sim. Pode variar por renda, cargo, país e relacionamento.",48,C101028_2025-07,"cliente C101028 / mês 2025-07 | total=R$ 62.577,35 | tx_count=14 | cash_in=3 (R$ 9.910,53) | cash_out=11 (R$ 52.666,82) | cross_border=3 | high_risk_country=1 | regras=M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period; M08_pep_high_volume; M09_high_risk_mcc_repeated",PEP exige diligência reforçada quando combinado com materialidade financeira.,"EDD, revisão de origem de recursos, ocupação/cargo e contrapartes.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M09,M09_high_risk_mcc_repeated,Repetição em MCC de risco,cliente_mes,MCC risco / merchant risk,Card/merchant,Média,20,high_risk_mcc_count>=5 no mês.,Mínimo 5 transações com MCC High no mês.,Sim. Deve variar por MCC e histórico do cliente.,411,C101028_2025-07,"cliente C101028 / mês 2025-07 | total=R$ 62.577,35 | tx_count=14 | cash_in=3 (R$ 9.910,53) | cash_out=11 (R$ 52.666,82) | cross_border=3 | high_risk_country=1 | regras=M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M07_sanctions_any_period; M08_pep_high_volume; M09_high_risk_mcc_repeated",Repetição em MCC de risco é mais relevante que uma compra isolada; pode indicar uso de merchants para layering/fraude.,"Revisar MCC, merchant, concentração e chargebacks.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M10,M10_ecommerce_no3ds_repeated,E-commerce sem 3DS repetido,cliente_mes,fraude cartão / e-commerce sem autenticação,Card,Média,18,ecommerce_no3ds_count>=2 no mês.,Mínimo 2 transações Card E-commerce CNP sem 3DS no mês.,"Sim. Pode variar por ticket, MCC, chargeback e cliente.",78,C101770_2025-08,"cliente C101770 / mês 2025-08 | total=R$ 57.477,85 | tx_count=16 | cash_in=4 (R$ 29.480,51) | cash_out=12 (R$ 27.997,34) | cross_border=4 | high_risk_country=1 | regras=M01_monthly_out_of_profile_dynamic; M02_velocity_high_volume; M04_cashin_to_cashout_pass_through_proxy; M10_ecommerce_no3ds_repeated; M11_device_ip_risk_repeated",Repetição de e-commerce sem 3DS aumenta risco de fraude e pode compor priorização junto a MCC/merchant de risco.,"Revisar device, merchant, chargeback e autenticação.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M11,M11_device_ip_risk_repeated,Risco técnico repetido de device/IP,cliente_mes,device/IP ring / geo-salto,Digital,Média,18,ip_anomaly_proxy_count>=3 no mês.,"Mínimo 3 eventos de IP anomaly, Proxy, VPN ou Tor no mês.",Sim. Pode variar por canal e cliente.,139,C100251_2025-09,"cliente C100251 / mês 2025-09 | total=R$ 38.095,20 | tx_count=11 | cash_in=2 (R$ 2.460,73) | cash_out=9 (R$ 35.634,47) | cross_border=4 | high_risk_country=2 | regras=M01_monthly_out_of_profile_dynamic; M04_cashin_to_cashout_pass_through_proxy; M05_crossborder_concentration; M06_high_risk_country_repeated; M11_device_ip_risk_repeated","Repetição de sinal técnico é mais relevante que evento isolado e pode indicar automação, ocultação de origem ou takeover.","Revisar device/IP, geografia, horários e relação com transações de alto risco.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
M12,M12_self_merchant_any,Self-merchant no mês,cliente_mes,self-merchant / circularidade,Card/merchant,Crítica,80,self_merchant_count>=1 no mês.,Qualquer transação em que cliente coincide com owner_customer_id do merchant.,Não. Relação direta.,3,C100300_2025-07,"cliente C100300 / mês 2025-07 | total=R$ 86.567,52 | tx_count=16 | cash_in=1 (R$ 2.000,19) | cash_out=15 (R$ 84.567,33) | cross_border=1 | high_risk_country=0 | regras=M01_monthly_out_of_profile_dynamic; M02_velocity_high_volume; M09_high_risk_mcc_repeated; M12_self_merchant_any","Indício forte de possível circularidade ou venda simulada, especialmente quando combinado com alto valor ou chargeback.","Investigar vínculo, origem econômica da transação e padrão de circularidade.","Não decidir automaticamente por regra isolada; priorizar combinação de sinais, revisão humana, coerência com perfil e documentação."
